#Please preserve the linebreaks, as they correspond to parts between files. OOPS





-: [8, 02] {sanity}
Ba: [8, 17]
-by,: [8, 23]
it's: [9, 03]
cold: [9, 9]
out: [9, 16]
-side.: [9, 21]
-:  [10, 18]




Ba: [12, 7] {sanity}
-by,: [12, 17]
it's: [12, 22]
cold: [13, 6]
out: [13, 23]
-side.: [14, 4]
-: [15, 6] {sanity}



-: [16, 12] {sanity}
Been: [16, 18]
ho: [17, 1]
-ping: [17, 7]
that: [17, 10]
you'd: [17, 14]
drop: [18, 3] {sanity}
in.: [18, 7]

-: [19, 4]

I'll : [20, 1]
-[h]old: [20, 18] {sanity}
[y]our: [21, 9]
[h]ands;: [21, 16]
[t]hey're: [22, 14]
[j]ust: [22, 20]
[l]ike: [23, 8]
ice.: [23, 21] {sanity}




-: [25, 12] {sanity}
Beau: [26, 0] {sanity}
-ti: [26, 9] {sanity}
-ful,: [26, 13]
[w]hat's: [27, 1]
[y]our: [27, 13]
[h]u: [28, 2] {sanity}
-rry?: [28, 9] {sanity}


-: [28, 22] {sanity}



Lis: [29, 21] {sanity}
-ten: [30, 10]
to: [30, 16] {sanity}
the: [30, 22]
[f]ire: [31, 4]
-[p]lace: [31, 19]
[r]oar.: [32, 7] {sanity}




Beau: [34, 3]
-ti: [34, 17]
-ful,: [34, 22]
[p]lease: [35, 11] {sanity}
[d]on't: [36, 0]
[h]u: [36, 12] {sanity}
-[rr]y.: [36, 20] {sanity}








I'll: [38, 8] {sanity}
[p]ut : [38, 12]
-[s]ome: [38, 19]
[r]e: [39, 2]
-[c]or: [39, 10]
-ds [o]n: [39, 14]
[w]hile: [39, 23]
[I]: [40, 5]
[p]our.: [40, 13]




Baby,: [42, 8] {sanity}
it's: [42, 16]
[b]ad: [43, 5]
[o]ut: [43, 12]
[t]here.: [44, 1]
-: [44, 10] {sanity}



No : [45, 19]
cabs :  [46, 0] {sanity}
to : [46, 15] {sanity}
be : [46, 18]
[h]ad : [47, 1]
[o]ut : [47, 10]
[t]here. : [47, 19]
-: [48, 03] {sanity}



Your : [50, 1]
eyes : [50, 5] {sanity}
are : [50, 16]
[l]ike : [50, 18]
[s]: [51, 03]
-tar: [51, 7]
-[l]ight : [51, 18] {sanity}
[n]ow. : [52, 2]



I'll : [53, 15]
[t]ake : [54, 11]
